Contig1	Contig2	Correlation
NODE_A16_length_6330_cov_198.071806_BlackFly59	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7149203529842404
NODE_A4_length_6139_cov_61.610195_BlackFly18	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7911070345636263
NODE_A45_length_6076_cov_38.002667_BlackFly3	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7911070345636263
NODE_A25_length_5955_cov_204.761824_BlackFly52	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7149203529842404
NODE_A44_length_5669_cov_50.651645_BlackFly36	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.8633483482177806
NODE_A5_length_5444_cov_43.076579_BlackFly22	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7149203529842404
NODE_A49_length_4780_cov_9.099724_BlackFly31	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7149203529842404
NODE_A30_length_4403_cov_108.992603_BlackFly20	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7149203529842404
NODE_A11_length_4079_cov_1220.221889_BlackFly7	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7149203529842404
NODE_A10_length_4012_cov_277.458958_BlackFly46	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7149203529842404
NODE_A29_length_3981_cov_409.724385_BlackFly14	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7149203529842404
NODE_A36_length_3799_cov_98.511822_BlackFly44	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7149203529842404
NODE_A32_length_3632_cov_776.189592_BlackFly53	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7911070345636263
NODE_A21_length_3554_cov_110.759563_BlackFly22	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7911070345636263
NODE_A22_length_3511_cov_136.183751_BlackFly7	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7149203529842404
NODE_A43_length_3268_cov_15.922595_BlackFly10	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.9327252324977927
NODE_A24_length_3128_cov_33.994756_BlackFly7	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7911070345636263
NODE_B10_length_3049_cov_5.392665_BlackFly38	NODE_A2_length_35754_cov_122.006251_BlackFly49	0.7911070345636263
NODE_A2_length_71456_cov_6156.472366_BlackFly29	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.916324257985455
NODE_A2_length_40812_cov_563.332932_BlackFly53	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.7413317781618438
NODE_A5_length_35827_cov_140.169203_BlackFly48	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.7423074889580903
NODE_A4_length_19843_cov_17.610493_BlackFly59	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.8129251700680272
NODE_A20_length_12140_cov_876.354307_BlackFly3	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.8129251700680272
NODE_A23_length_10487_cov_419.766667_BlackFly16	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.8129251700680272
NODE_A11_length_9789_cov_221.877471_BlackFly20	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.8129251700680272
NODE_A26_length_9752_cov_553.544393_BlackFly3	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.8129251700680272
NODE_A16_length_6330_cov_198.071806_BlackFly59	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.9036961141150639
NODE_A4_length_6139_cov_61.610195_BlackFly18	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.8129251700680272
NODE_A45_length_6076_cov_38.002667_BlackFly3	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.8129251700680272
NODE_A25_length_5955_cov_204.761824_BlackFly52	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.9036961141150639
NODE_A44_length_5669_cov_50.651645_BlackFly36	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.916324257985455
NODE_A5_length_5444_cov_43.076579_BlackFly22	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.9036961141150639
NODE_A49_length_4780_cov_9.099724_BlackFly31	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.9036961141150639
NODE_A30_length_4403_cov_108.992603_BlackFly20	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.7008255578851517
NODE_A11_length_4079_cov_1220.221889_BlackFly7	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.9036961141150639
NODE_A10_length_4012_cov_277.458958_BlackFly46	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.9036961141150639
NODE_A29_length_3981_cov_409.724385_BlackFly14	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.9036961141150639
NODE_A36_length_3799_cov_98.511822_BlackFly44	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.9036961141150639
NODE_A32_length_3632_cov_776.189592_BlackFly53	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.8129251700680272
NODE_A21_length_3554_cov_110.759563_BlackFly22	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.8129251700680272
NODE_A22_length_3511_cov_136.183751_BlackFly7	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.9036961141150639
NODE_A24_length_3128_cov_33.994756_BlackFly7	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.8129251700680272
NODE_B10_length_3049_cov_5.392665_BlackFly38	NODE_A4_length_33256_cov_39.814762_BlackFly49	0.8129251700680272
NODE_A2_length_40812_cov_563.332932_BlackFly53	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.9999999999999999
NODE_A5_length_35827_cov_140.169203_BlackFly48	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.8100925873009824
NODE_A4_length_19843_cov_17.610493_BlackFly59	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.7413317781618438
NODE_A20_length_12140_cov_876.354307_BlackFly3	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.916324257985455
NODE_A23_length_10487_cov_419.766667_BlackFly16	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.7413317781618438
NODE_A11_length_9789_cov_221.877471_BlackFly20	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.916324257985455
NODE_A26_length_9752_cov_553.544393_BlackFly3	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.916324257985455
NODE_A16_length_6330_cov_198.071806_BlackFly59	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.828078671210825
NODE_A4_length_6139_cov_61.610195_BlackFly18	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.7413317781618438
NODE_A45_length_6076_cov_38.002667_BlackFly3	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.916324257985455
NODE_A25_length_5955_cov_204.761824_BlackFly52	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.828078671210825
NODE_A44_length_5669_cov_50.651645_BlackFly36	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.8363095238095236
NODE_A5_length_5444_cov_43.076579_BlackFly22	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.828078671210825
NODE_A49_length_4780_cov_9.099724_BlackFly31	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.828078671210825
NODE_A30_length_4403_cov_108.992603_BlackFly20	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.828078671210825
NODE_A11_length_4079_cov_1220.221889_BlackFly7	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.828078671210825
NODE_A10_length_4012_cov_277.458958_BlackFly46	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.828078671210825
NODE_A29_length_3981_cov_409.724385_BlackFly14	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.828078671210825
NODE_A36_length_3799_cov_98.511822_BlackFly44	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.828078671210825
NODE_A32_length_3632_cov_776.189592_BlackFly53	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.916324257985455
NODE_A21_length_3554_cov_110.759563_BlackFly22	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.916324257985455
NODE_A22_length_3511_cov_136.183751_BlackFly7	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.828078671210825
NODE_A43_length_3268_cov_15.922595_BlackFly10	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.7708803964383635
NODE_A24_length_3128_cov_33.994756_BlackFly7	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.916324257985455
NODE_B10_length_3049_cov_5.392665_BlackFly38	NODE_A5_length_23945_cov_45.344478_BlackFly49	0.916324257985455
NODE_A2_length_71456_cov_6156.472366_BlackFly29	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.9999999999999999
NODE_A5_length_35827_cov_140.169203_BlackFly48	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.8100925873009824
NODE_A4_length_19843_cov_17.610493_BlackFly59	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.916324257985455
NODE_A20_length_12140_cov_876.354307_BlackFly3	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.7413317781618438
NODE_A23_length_10487_cov_419.766667_BlackFly16	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.916324257985455
NODE_A11_length_9789_cov_221.877471_BlackFly20	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.7413317781618438
NODE_A26_length_9752_cov_553.544393_BlackFly3	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.7413317781618438
NODE_A16_length_6330_cov_198.071806_BlackFly59	NODE_A6_length_23825_cov_52.078996_BlackFly49	0.828078671210825
